Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Guerra, Carlos A; Heintz-Buschart, Anna; Sikorski, Johannes; Chatzinotas, Antonis; Guerrero-Ramírez, Nathaly; Cesarz, Simone; Beaumelle, Léa; Rillig, Matthias C; Maestre, Fernando T; Delgado-Baquerizo, Manuel; ",Blind spots in global soil biodiversity and ecosystem function research,Nature communications,11,1,3870,2020,Nature Publishing Group UK London
"Thakur, Madhav P; Phillips, Helen RP; Brose, Ulrich; De Vries, Franciska T; Lavelle, Patrick; Loreau, Michel; Mathieu, Jerome; Mulder, Christian; Van der Putten, Wim H; Rillig, Matthias C; ",Towards an integrative understanding of soil biodiversity,Biological Reviews,95,2,350-364,2020,"Blackwell Publishing Ltd Oxford, UK"
"Leberger, Roxanne; Rosa, Isabel MD; Guerra, Carlos A; Wolf, Florian; Pereira, Henrique M; ",Global patterns of forest loss across IUCN categories of protected areas,Biological Conservation,241,,108299,2020,Elsevier
"Rosa, Isabel MD; Purvis, Andy; Alkemade, Rob; Chaplin-Kramer, Rebecca; Ferrier, Simon; Guerra, Carlos A; Hurtt, George; Kim, HyeJin; Leadley, Paul; Martins, Inês S; ",Challenges in producing policy-relevant global scenarios of biodiversity and ecosystem services,Global Ecology and Conservation,22,,e00886,2020,Elsevier
"Guerra, Carlos A; Rosa, Isabel MD; Valentini, Emiliana; Wolf, Florian; Filipponi, Federico; Karger, Dirk N; Nguyen Xuan, Alessandra; Mathieu, Jerome; Lavelle, Patrick; Eisenhauer, Nico; ",Global vulnerability of soil ecosystems to erosion,Landscape ecology,35,,823-842,2020,Springer Netherlands
"Kleemann, Janina; Schröter, Matthias; Bagstad, Kenneth J; Kuhlicke, Christian; Kastner, Thomas; Fridman, Dor; Schulp, Catharina JE; Wolff, Sarah; Martínez-López, Javier; Koellner, Thomas; ",Quantifying interregional flows of multiple ecosystem services–A case study for Germany,Global Environmental Change,61,,102051,2020,Pergamon
"Heintz-Buschart, Anna; Guerra, Carlos; Djukic, Ika; Cesarz, Simone; Chatzinotas, Antonis; Patoine, Guillaume; Sikorski, Johannes; Buscot, Francois; Küsel, Kirsten; Wegner, Carl-Eric; ",Microbial diversity-ecosystem function relationships across environmental gradients,Research Ideas and Outcomes,6,,e52217,2020,Pensoft Publishers
"Pereira, Henrique M; Rosa, Isabel MD; Martins, Inês S; Kim, HyeJin; Leadley, Paul; Popp, Alexander; van Vuuren, Detlef P; Hurtt, George; Anthoni, Peter; Arneth, Almut; ",Global trends in biodiversity and ecosystem services from 1900 to 2050,BioRxiv,,,2020.04. 14.031716,2020,Cold Spring Harbor Laboratory
"Delgado-Baquerizo, Manuel; Guerra, Carlos A; Cano-Díaz, Concha; Egidi, Eleonora; Wang, Jun-Tao; Eisenhauer, Nico; Singh, Brajesh K; Maestre, Fernando T; ",The proportion of soil-borne pathogens increases with warming at the global scale,Nature Climate Change,10,6,550-554,2020,Nature Publishing Group UK London
"Leberger, Roxanne; Geijzendorffer, Ilse R; Gaget, Elie; Gwelmami, Anis; Galewski, Thomas; Pereira, Henrique M; Guerra, Carlos A; ",Mediterranean wetland conservation in the context of climate and land cover change,Regional Environmental Change,20,,1-11,2020,Springer Berlin Heidelberg
"Morán‐Ordóñez, Alejandra; Duane, Andrea; Gil‐Tena, Assu; Cáceres, Miquel De; Aquilué, Núria; Guerra, Carlos A; Geijzendorffer, Ilse R; Fortin, Marie‐Josée; Brotons, Lluís; ",Future impact of climate extremes in the Mediterranean: soil erosion projections when fire and extreme rainfall meet,Land Degradation & Development,,,,2020,"John Wiley & Sons, Ltd"
"Kühl, Hjalmar S; Bowler, Diana E; Bösch, Lukas; Bruelheide, Helge; Dauber, Jens; Eichenberg, David; Eisenhauer, Nico; Fernández, Néstor; Guerra, Carlos A; Henle, Klaus; ",Effective biodiversity monitoring needs a culture of integration,One Earth,3,4,462-474,2020,Elsevier
"Eisenhauer, Nico; Buscot, François; Heintz‐Buschart, Anna; Jurburg, Stephanie D; Küsel, Kirsten; Sikorski, Johannes; Vogel, Hans‐Jörg; Guerra, Carlos A; ",The multidimensionality of soil macroecology,Global Ecology and Biogeography,,,,2020,
